ID,Marital Status,Gender,Yearly Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,BikeBuyer,Scored Labels,Scored Probabilities,ID (2),Latitude,Longitude,City,Zip Code,Country
25327,Married,Male,40000,3,Partial College,Clerical,Yes,0,0-1 Miles,North America,31,No,No,8.49267598823644E-05,25327,,,"","",""
18444,Single,Female,20000,0,High School,Skilled Manual,Yes,2,5-10 Miles,Pacific,59,No,No,0.00107249896973372,18444,,,"","",""
13835,Single,Female,20000,0,High School,Manual,No,1,1-2 Miles,Europe,30,No,No,0.00813751574605703,13835,57.61638,47.79779,Brive-la-Gaillarde,25873,France
15574,Single,Male,70000,4,Bachelors,Professional,No,2,0-1 Miles,North America,48,No,No,0.0276922415941954,15574,,,"","",""
12491,Married,Male,40000,0,Bachelors,Professional,Yes,0,0-1 Miles,Europe,40,No,No,0.00152134045492858,12491,-47.04237,-31.85349,Salisbury,DW6D 2CR,United Kingdom
28971,Single,Male,60000,0,Graduate Degree,Management,No,2,1-2 Miles,North America,67,No,No,2.87031289190054E-05,28971,,,"","",""
16254,Single,Female,20000,1,Partial College,Manual,No,1,2-5 Miles,Europe,39,No,No,0.00203777314163744,16254,-45.44002,129.02559,Caen,27964,France
13781,Married,Female,40000,0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,No,No,0.203753098845482,13781,80.87765,157.02091,Llangollen,ET2 0KW,United Kingdom
16002,Married,Female,110000,3,Graduate Degree,Management,Yes,4,5-10 Miles,North America,69,No,No,0.000437254493590444,16002,,,"","",""
28881,Married,Male,110000,4,Partial College,Professional,Yes,4,5-10 Miles,Europe,50,No,No,0.00011299537436571,28881,-59.15816,144.8104,Bastia,99302,France
16640,Married,Male,130000,5,Partial High School,Management,No,4,10+ Miles,Pacific,35,No,No,0.00133191468194127,16640,,,"","",""
21458,Married,Male,40000,0,High School,Professional,No,2,2-5 Miles,North America,61,No,No,0.000234661769354716,21458,,,"","",""
